n_feats,mean,std
1,0.5693157965124054,0.05968150568871236
2,0.6862822055924783,0.06843116015283664
3,0.7184776225280699,0.08982677890977807
4,0.6815607538041993,0.018676827463252697
5,0.8077665556078869,0.039352210956397654
6,0.7714253318680552,0.05735386828153873
7,0.7395758833824666,0.11245892763175507
8,0.676693937120961,0.018032318293432954
9,0.8139823585163478,0.04340308840892912
10,0.7792372413231693,0.06666190248258119
11,0.8213959681592735,0.05441848320208983
12,0.8436280751943528,0.04125433120225717
13,0.8138573447066827,0.036357682993938385
14,0.8313302050807939,0.015948895188260894
15,0.7870695018635779,0.028427612080360588
16,0.8245329425924958,0.054502522622753444
17,0.8393950494531373,0.03771044729998934
18,0.8265767730156238,0.011450222902417696
19,0.8440699844750291,0.02179041517032608
20,0.8691570580471099,0.03575254860591873
21,0.8113309028322896,0.04426578897763804
22,0.8568504660398532,0.023856170169057007
23,0.8539606119280618,0.04715574618841207
24,0.8177007925294072,0.03479279702934449
25,0.8438490298346911,0.015835949444762486
26,0.8391362999401096,0.02077297694126313
27,0.865871811421029,0.026789922108312277
28,0.8349207179862891,0.008499057656270277
