dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,full_score,partial_scores_mean,diff_full_partial
Iris,598,max,None,0.0,False,False,0.01,64,0.96875,0.831 +- 0.102,0.9583333134651184,0.854 +- 0.047,0.831,0.854,0.9583333134651184,0.831,0.12733331346511845
Iris,376,l2,loss,0.0,False,True,0.01,64,0.912500023841858,0.83 +- 0.072,0.9583333134651184,0.958 +- 0.0,0.83,0.958,0.912500023841858,0.83,0.08250002384185806
Iris,508,l2,mult,0.0,True,True,0.01,64,0.912500023841858,0.83 +- 0.075,0.9583333134651184,0.948 +- 0.018,0.83,0.948,0.912500023841858,0.83,0.08250002384185806
Iris,373,l2,loss,0.0,False,True,0.001,32,0.9145833253860474,0.83 +- 0.074,0.9583333134651184,0.948 +- 0.018,0.83,0.948,0.9145833253860474,0.83,0.0845833253860474
Iris,663,max,loss,0.0,False,True,0.01,32,0.9145833253860474,0.83 +- 0.074,0.9583333134651184,0.958 +- 0.0,0.83,0.958,0.9145833253860474,0.83,0.0845833253860474
Iris,353,l2,None,1.0,False,True,0.1,32,0.8937500119209291,0.829 +- 0.056,0.9583333134651184,0.948 +- 0.035,0.829,0.948,0.8937500119209291,0.829,0.06475001192092911
Iris,590,max,None,0.0,False,True,0.001,64,0.9041666388511658,0.829 +- 0.066,0.9583333134651184,0.948 +- 0.018,0.829,0.948,0.9041666388511658,0.829,0.07516663885116581
Iris,147,l1,avg,0.0,True,True,0.01,32,0.912500023841858,0.829 +- 0.075,0.9583333134651184,0.958 +- 0.0,0.829,0.958,0.912500023841858,0.829,0.08350002384185806
Iris,507,l2,mult,0.0,True,True,0.01,32,0.912500023841858,0.829 +- 0.071,0.9583333134651184,0.958 +- 0.0,0.829,0.958,0.912500023841858,0.829,0.08350002384185806
Iris,865,var,None,0.0,True,True,0.001,32,0.912500023841858,0.829 +- 0.072,0.9583333134651184,0.948 +- 0.018,0.829,0.948,0.912500023841858,0.829,0.08350002384185806
Iris,937,var,loss,0.0,True,True,0.001,32,0.912500023841858,0.829 +- 0.07,0.9583333134651184,0.948 +- 0.018,0.829,0.948,0.912500023841858,0.829,0.08350002384185806
Iris,940,var,loss,0.0,True,True,0.01,64,0.912500023841858,0.829 +- 0.075,0.9583333134651184,0.958 +- 0.0,0.829,0.958,0.912500023841858,0.829,0.08350002384185806
Iris,977,var,loss,0.5,False,True,0.1,32,0.912500023841858,0.829 +- 0.058,0.9583333134651184,0.938 +- 0.036,0.829,0.938,0.912500023841858,0.829,0.08350002384185806
Iris,793,max,mult,0.0,True,True,0.001,32,0.9145833253860474,0.829 +- 0.069,0.9583333134651184,0.948 +- 0.018,0.829,0.948,0.9145833253860474,0.829,0.0855833253860474
Iris,850,max,mult,1.0,True,False,0.01,64,0.8333333134651184,0.828 +- 0.021,0.875,0.865 +- 0.045,0.828,0.865,0.8333333134651184,0.828,0.00533331346511845
Iris,93,l1,loss,0.0,False,False,0.01,32,0.8854166865348816,0.828 +- 0.09,0.9166666865348816,0.865 +- 0.08,0.828,0.865,0.8854166865348816,0.828,0.057416686534881634
Iris,1134,var,mult,1.0,True,True,0.1,64,0.8958333134651184,0.828 +- 0.048,0.9166666865348816,0.906 +- 0.035,0.828,0.906,0.8958333134651184,0.828,0.06783331346511845
Iris,87,l1,loss,0.0,False,True,0.01,32,0.9104166626930236,0.828 +- 0.073,0.9583333134651184,0.958 +- 0.0,0.828,0.958,0.9104166626930236,0.828,0.08241666269302361
Iris,145,l1,avg,0.0,True,True,0.001,32,0.912500023841858,0.828 +- 0.078,0.9583333134651184,0.948 +- 0.018,0.828,0.948,0.912500023841858,0.828,0.08450002384185806
Iris,304,l2,None,0.0,False,True,0.01,64,0.912500023841858,0.828 +- 0.075,0.9583333134651184,0.958 +- 0.0,0.828,0.958,0.912500023841858,0.828,0.08450002384185806
Iris,363,l2,loss,0.0,True,True,0.01,32,0.912500023841858,0.828 +- 0.073,0.9583333134651184,0.958 +- 0.0,0.828,0.958,0.912500023841858,0.828,0.08450002384185806
Iris,736,max,avg,0.0,False,True,0.01,64,0.912500023841858,0.828 +- 0.074,0.9583333134651184,0.958 +- 0.0,0.828,0.958,0.912500023841858,0.828,0.08450002384185806
Iris,1024,var,avg,0.0,False,True,0.01,64,0.912500023841858,0.828 +- 0.075,0.9583333134651184,0.958 +- 0.0,0.828,0.958,0.912500023841858,0.828,0.08450002384185806
Iris,160,l1,avg,0.0,False,True,0.01,64,0.9145833253860474,0.828 +- 0.074,0.9583333134651184,0.958 +- 0.0,0.828,0.958,0.9145833253860474,0.828,0.0865833253860474
Iris,364,l2,loss,0.0,True,True,0.01,64,0.9145833253860474,0.828 +- 0.072,0.9583333134651184,0.958 +- 0.0,0.828,0.958,0.9145833253860474,0.828,0.0865833253860474
Iris,591,max,None,0.0,False,True,0.01,32,0.9145833253860474,0.828 +- 0.074,0.9583333134651184,0.958 +- 0.0,0.828,0.958,0.9145833253860474,0.828,0.0865833253860474
Iris,592,max,None,0.0,False,True,0.01,64,0.9145833253860474,0.828 +- 0.074,0.9583333134651184,0.958 +- 0.0,0.828,0.958,0.9145833253860474,0.828,0.0865833253860474
Iris,1081,var,mult,0.0,True,True,0.001,32,0.9145833253860474,0.828 +- 0.078,0.9583333134651184,0.948 +- 0.018,0.828,0.948,0.9145833253860474,0.828,0.0865833253860474
Iris,1061,var,avg,1.0,True,True,0.1,32,0.8833333253860474,0.827 +- 0.037,0.9166666865348816,0.906 +- 0.035,0.827,0.906,0.8833333253860474,0.827,0.056333325386047406
Iris,231,l1,mult,0.0,False,True,0.01,32,0.912500023841858,0.827 +- 0.073,0.9583333134651184,0.958 +- 0.0,0.827,0.958,0.912500023841858,0.827,0.08550002384185806
Iris,445,l2,avg,0.0,False,True,0.001,32,0.912500023841858,0.827 +- 0.077,0.9583333134651184,0.948 +- 0.018,0.827,0.948,0.912500023841858,0.827,0.08550002384185806
Iris,222,l1,mult,0.0,True,True,0.1,64,0.9291666746139526,0.827 +- 0.078,0.9583333134651184,0.948 +- 0.018,0.827,0.948,0.9291666746139526,0.827,0.10216667461395268
Iris,1122,var,mult,0.5,False,True,0.1,64,0.9020833373069764,0.826 +- 0.046,0.9583333134651184,0.938 +- 0.036,0.826,0.938,0.9020833373069764,0.826,0.07608333730697647
Iris,157,l1,avg,0.0,False,True,0.001,32,0.912500023841858,0.826 +- 0.075,0.9583333134651184,0.948 +- 0.018,0.826,0.948,0.912500023841858,0.826,0.08650002384185806
Iris,579,max,None,0.0,True,True,0.01,32,0.912500023841858,0.826 +- 0.075,0.9583333134651184,0.958 +- 0.0,0.826,0.958,0.912500023841858,0.826,0.08650002384185806
Iris,810,max,mult,0.0,False,True,0.1,64,0.912500023841858,0.826 +- 0.075,0.9583333134651184,0.958 +- 0.0,0.826,0.958,0.912500023841858,0.826,0.08650002384185806
Iris,15,l1,None,0.0,False,True,0.01,32,0.9145833253860474,0.826 +- 0.074,0.9583333134651184,0.958 +- 0.0,0.826,0.958,0.9145833253860474,0.826,0.0885833253860474
Iris,433,l2,avg,0.0,True,True,0.001,32,0.9145833253860474,0.826 +- 0.077,0.9583333134651184,0.948 +- 0.018,0.826,0.948,0.9145833253860474,0.826,0.0885833253860474
Iris,3,l1,None,0.0,True,True,0.01,32,0.912500023841858,0.825 +- 0.076,0.9583333134651184,0.958 +- 0.0,0.825,0.958,0.912500023841858,0.825,0.08750002384185807
Iris,666,max,loss,0.0,False,True,0.1,64,0.912500023841858,0.825 +- 0.073,0.9583333134651184,0.958 +- 0.0,0.825,0.958,0.912500023841858,0.825,0.08750002384185807
Iris,796,max,mult,0.0,True,True,0.01,64,0.912500023841858,0.825 +- 0.075,0.9583333134651184,0.958 +- 0.0,0.825,0.958,0.912500023841858,0.825,0.08750002384185807
Iris,16,l1,None,0.0,False,True,0.01,64,0.9291666746139526,0.825 +- 0.078,0.9583333134651184,0.948 +- 0.018,0.825,0.948,0.9291666746139526,0.825,0.10416667461395268
Iris,664,max,loss,0.0,False,True,0.01,64,0.9104166626930236,0.824 +- 0.076,0.9583333134651184,0.958 +- 0.0,0.824,0.958,0.9104166626930236,0.824,0.08641666269302362
Iris,76,l1,loss,0.0,True,True,0.01,64,0.912500023841858,0.824 +- 0.076,0.9583333134651184,0.958 +- 0.0,0.824,0.958,0.912500023841858,0.824,0.08850002384185807
Iris,220,l1,mult,0.0,True,True,0.01,64,0.912500023841858,0.824 +- 0.076,0.9583333134651184,0.958 +- 0.0,0.824,0.958,0.912500023841858,0.824,0.08850002384185807
Iris,577,max,None,0.0,True,True,0.001,32,0.9145833253860474,0.824 +- 0.075,0.9583333134651184,0.948 +- 0.018,0.824,0.948,0.9145833253860474,0.824,0.09058332538604741
Iris,951,var,loss,0.0,False,True,0.01,32,0.9145833253860474,0.824 +- 0.072,0.9583333134651184,0.958 +- 0.0,0.824,0.958,0.9145833253860474,0.824,0.09058332538604741
Iris,219,l1,mult,0.0,True,True,0.01,32,0.9291666746139526,0.824 +- 0.078,0.9583333134651184,0.948 +- 0.018,0.824,0.948,0.9291666746139526,0.824,0.10516667461395268
Iris,320,l2,None,0.5,True,False,0.001,64,0.8645833134651184,0.865 +- 0.023,0.75,0.823 +- 0.062,0.865,0.823,0.75,0.823,-0.07299999999999995
