dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,full_score,partial_scores_mean,diff_full_partial
Ecoli,830,max,mult,0.5,False,True,0.001,64,0.8563953638076782,0.827 +- 0.018,0.7735849022865295,0.768 +- 0.04,0.827,0.768,0.7735849022865295,0.768,0.005584902286529525
Ecoli,904,var,None,0.5,False,True,0.01,64,0.8360465168952942,0.815 +- 0.016,0.7735849022865295,0.768 +- 0.039,0.815,0.768,0.7735849022865295,0.768,0.005584902286529525
Ecoli,1068,var,avg,1.0,True,False,0.1,64,0.8418604731559753,0.835 +- 0.007,0.7735849022865295,0.768 +- 0.039,0.835,0.768,0.7735849022865295,0.768,0.005584902286529525
Ecoli,383,l2,loss,0.0,False,False,0.1,32,0.8465116024017334,0.824 +- 0.025,0.7924528121948242,0.768 +- 0.039,0.824,0.768,0.7924528121948242,0.768,0.024452812194824203
Ecoli,228,l1,mult,0.0,True,False,0.1,64,0.8604651093482971,0.818 +- 0.036,0.8113207817077637,0.768 +- 0.033,0.818,0.768,0.8113207817077637,0.768,0.043320781707763656
Ecoli,869,var,None,0.0,True,True,0.1,32,0.8459302186965942,0.821 +- 0.018,0.8113207817077637,0.768 +- 0.024,0.821,0.768,0.8113207817077637,0.768,0.043320781707763656
Ecoli,38,l1,None,0.5,False,True,0.001,64,0.8436046242713928,0.821 +- 0.015,0.7735849022865295,0.765 +- 0.038,0.821,0.765,0.7735849022865295,0.765,0.008584902286529528
Ecoli,541,l2,mult,0.5,False,True,0.001,32,0.8517441749572754,0.827 +- 0.017,0.7735849022865295,0.765 +- 0.039,0.827,0.765,0.7735849022865295,0.765,0.008584902286529528
Ecoli,395,l2,loss,0.5,True,False,0.1,32,0.8511627912521362,0.841 +- 0.009,0.7924528121948242,0.765 +- 0.039,0.841,0.765,0.7924528121948242,0.765,0.027452812194824205
Ecoli,483,l2,avg,1.0,True,True,0.01,32,0.8511627912521362,0.827 +- 0.018,0.7924528121948242,0.765 +- 0.038,0.827,0.765,0.7924528121948242,0.765,0.027452812194824205
Ecoli,906,var,None,0.5,False,True,0.1,64,0.8517441749572754,0.83 +- 0.017,0.7924528121948242,0.765 +- 0.032,0.83,0.765,0.7924528121948242,0.765,0.027452812194824205
Ecoli,928,var,None,1.0,False,True,0.01,64,0.8494185805320741,0.827 +- 0.014,0.7924528121948242,0.765 +- 0.033,0.827,0.765,0.7924528121948242,0.765,0.027452812194824205
Ecoli,977,var,loss,0.5,False,True,0.1,32,0.8523255586624146,0.832 +- 0.019,0.7924528121948242,0.765 +- 0.03,0.832,0.765,0.7924528121948242,0.765,0.027452812194824205
Ecoli,989,var,loss,1.0,True,True,0.1,32,0.8465116024017334,0.825 +- 0.02,0.7924528121948242,0.765 +- 0.04,0.825,0.765,0.7924528121948242,0.765,0.027452812194824205
Ecoli,1018,var,avg,0.0,True,False,0.01,64,0.8651162981987,0.83 +- 0.036,0.7924528121948242,0.765 +- 0.035,0.83,0.765,0.7924528121948242,0.765,0.027452812194824205
Ecoli,365,l2,loss,0.0,True,True,0.1,32,0.8418604731559753,0.819 +- 0.014,0.8113207817077637,0.765 +- 0.033,0.819,0.765,0.8113207817077637,0.765,0.04632078170776366
Ecoli,600,max,None,0.0,False,False,0.1,64,0.8651162981987,0.834 +- 0.029,0.8113207817077637,0.765 +- 0.06,0.834,0.765,0.8113207817077637,0.765,0.04632078170776366
Ecoli,773,max,avg,1.0,True,True,0.1,32,0.8436046242713928,0.817 +- 0.021,0.8113207817077637,0.765 +- 0.041,0.817,0.765,0.8113207817077637,0.765,0.04632078170776366
Ecoli,633,max,None,1.0,True,False,0.01,32,0.8558139801025391,0.839 +- 0.01,0.7735849022865295,0.763 +- 0.038,0.839,0.763,0.7735849022865295,0.763,0.01058490228652953
Ecoli,722,max,avg,0.0,True,True,0.001,64,0.8505814075469971,0.822 +- 0.02,0.7735849022865295,0.763 +- 0.038,0.822,0.763,0.7735849022865295,0.763,0.01058490228652953
Ecoli,745,max,avg,0.5,True,True,0.001,32,0.8523255586624146,0.825 +- 0.017,0.7735849022865295,0.763 +- 0.038,0.825,0.763,0.7735849022865295,0.763,0.01058490228652953
Ecoli,793,max,mult,0.0,True,True,0.001,32,0.8494185805320741,0.823 +- 0.019,0.7735849022865295,0.763 +- 0.036,0.823,0.763,0.7735849022865295,0.763,0.01058490228652953
Ecoli,293,l2,None,0.0,True,True,0.1,32,0.8296511769294739,0.805 +- 0.025,0.7924528121948242,0.763 +- 0.038,0.805,0.763,0.7924528121948242,0.763,0.029452812194824207
Ecoli,432,l2,loss,1.0,False,False,0.1,64,0.8511627912521362,0.838 +- 0.012,0.7924528121948242,0.763 +- 0.036,0.838,0.763,0.7924528121948242,0.763,0.029452812194824207
