dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,full_score,partial_scores_mean,diff_full_partial
Accent,312,l2,None,0.0,False,False,0.1,64,0.6666666865348816,0.657 +- 0.014,0.7358490824699402,0.715 +- 0.016,0.657,0.715,0.6666666865348816,0.657,0.009666686534881563
Accent,413,l2,loss,1.0,True,True,0.1,32,0.6783882975578308,0.657 +- 0.016,0.7169811129570007,0.69 +- 0.028,0.657,0.69,0.6783882975578308,0.657,0.021388297557830782
Accent,668,max,loss,0.0,False,False,0.001,64,0.6666666865348816,0.656 +- 0.019,0.7169811129570007,0.695 +- 0.035,0.656,0.695,0.6666666865348816,0.656,0.010666686534881564
Accent,839,max,mult,0.5,False,False,0.1,32,0.6761904954910278,0.655 +- 0.017,0.7924528121948242,0.748 +- 0.025,0.655,0.748,0.6761904954910278,0.655,0.021190495491027805
Accent,677,max,loss,0.5,True,True,0.1,32,0.6794871687889099,0.655 +- 0.015,0.7735849022865295,0.736 +- 0.03,0.655,0.736,0.6794871687889099,0.655,0.024487168788909885
Accent,48,l1,None,0.5,False,False,0.1,64,0.6571428775787354,0.654 +- 0.006,0.698113203048706,0.69 +- 0.026,0.654,0.69,0.6571428775787354,0.654,0.003142877578735326
Accent,329,l2,None,0.5,False,True,0.1,32,0.6736263632774353,0.654 +- 0.018,0.7358490824699402,0.725 +- 0.027,0.654,0.725,0.6736263632774353,0.654,0.019626363277435277
Accent,185,l1,avg,0.5,False,True,0.1,32,0.6641025543212891,0.653 +- 0.006,0.7735849022865295,0.752 +- 0.022,0.653,0.752,0.6641025543212891,0.653,0.011102554321289038
Accent,141,l1,loss,1.0,False,False,0.01,32,0.6666666865348816,0.653 +- 0.01,0.698113203048706,0.681 +- 0.009,0.653,0.681,0.6666666865348816,0.653,0.013666686534881567
Accent,214,l1,avg,1.0,False,False,0.01,64,0.6714285612106323,0.653 +- 0.028,0.7358490824699402,0.704 +- 0.025,0.653,0.704,0.6714285612106323,0.653,0.0184285612106323
Accent,1016,var,avg,0.0,True,False,0.001,64,0.6714285612106323,0.653 +- 0.024,0.7169811129570007,0.706 +- 0.034,0.653,0.706,0.6714285612106323,0.653,0.0184285612106323
Accent,1090,var,mult,0.0,True,False,0.01,64,0.699999988079071,0.696 +- 0.014,0.6792452931404114,0.653 +- 0.024,0.696,0.653,0.6792452931404114,0.653,0.026245293140411352
Accent,632,max,None,1.0,True,False,0.001,64,0.6809523701667786,0.653 +- 0.018,0.7547169923782349,0.722 +- 0.033,0.653,0.722,0.6809523701667786,0.653,0.02795237016677854
Accent,941,var,loss,0.0,True,True,0.1,32,0.6816849708557129,0.653 +- 0.02,0.7358490824699402,0.722 +- 0.022,0.653,0.722,0.6816849708557129,0.653,0.028684970855712866
Accent,223,l1,mult,0.0,True,False,0.001,32,0.6809523701667786,0.65 +- 0.022,0.7169811129570007,0.668 +- 0.027,0.65,0.668,0.6809523701667786,0.65,0.030952370166778542
Accent,704,max,loss,1.0,True,False,0.001,64,0.6809523701667786,0.649 +- 0.02,0.7169811129570007,0.709 +- 0.014,0.649,0.709,0.6809523701667786,0.649,0.03195237016677854
Accent,1020,var,avg,0.0,True,False,0.1,64,0.6666666865348816,0.648 +- 0.021,0.7169811129570007,0.709 +- 0.026,0.648,0.709,0.6666666865348816,0.648,0.01866668653488157
Accent,1082,var,mult,0.0,True,True,0.001,64,0.672893762588501,0.648 +- 0.016,0.7358490824699402,0.72 +- 0.02,0.648,0.72,0.672893762588501,0.648,0.024893762588500956
