dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,full_score,partial_score,partial_scores_mean,diff_full_partial
Wine,916,l2,mult,2.0,True,True,0.01,64,0.5778061151504517,0.564 +- 0.016,0.564,0.013806115150451714
Wine,152,l1,loss,0.5,True,False,0.001,64,0.579081654548645,0.564 +- 0.023,0.564,0.015081654548645074
Wine,153,l1,loss,0.5,True,False,0.01,32,0.579081654548645,0.564 +- 0.018,0.564,0.015081654548645074
Wine,727,l2,avg,0.0,True,False,0.001,32,0.581632673740387,0.564 +- 0.026,0.564,0.017632673740387017
Wine,536,l2,None,1.0,True,False,0.001,64,0.5701530575752258,0.563 +- 0.016,0.563,0.007153057575225885
Wine,693,l2,loss,2.0,False,False,0.01,32,0.5752550959587097,0.563 +- 0.012,0.563,0.012255095958709772
Wine,555,l2,None,2.0,True,True,0.01,32,0.5765306353569031,0.563 +- 0.013,0.563,0.013530635356903131
Wine,676,l2,loss,2.0,True,True,0.01,64,0.5765306353569031,0.563 +- 0.013,0.563,0.013530635356903131
Wine,1280,max,avg,2.0,True,False,0.001,64,0.5778061151504517,0.563 +- 0.011,0.563,0.014806115150451715
Wine,848,l2,mult,0.0,True,False,0.001,64,0.579081654548645,0.563 +- 0.019,0.563,0.016081654548645075
Wine,364,l1,mult,0.0,True,True,0.01,64,0.5586734414100647,0.562 +- 0.01,0.562,-0.003326558589935358
Wine,928,l2,mult,2.0,False,True,0.01,64,0.5650510191917419,0.562 +- 0.014,0.562,0.0030510191917418883
Wine,907,l2,mult,1.0,False,False,0.001,32,0.5676020383834839,0.562 +- 0.017,0.562,0.005602038383483832
Wine,573,l2,None,2.0,False,False,0.01,32,0.5714285969734192,0.562 +- 0.013,0.562,0.009428596973419134
Wine,687,l2,loss,2.0,False,True,0.01,32,0.5714285969734192,0.562 +- 0.016,0.562,0.009428596973419134
Wine,814,l2,avg,2.0,False,False,0.01,64,0.5739796161651611,0.562 +- 0.016,0.562,0.011979616165161078
Wine,1107,max,loss,0.5,True,True,0.01,32,0.5739796161651611,0.562 +- 0.01,0.562,0.011979616165161078
Wine,681,l2,loss,2.0,True,False,0.01,32,0.5625,0.561 +- 0.012,0.561,0.0014999999999999458
