dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,full_score,partial_score,partial_scores_mean,diff_full_partial
Iris,1109,max,loss,0.5,True,True,0.1,32,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1121,max,loss,0.5,False,True,0.1,32,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1134,max,loss,1.0,True,True,0.1,64,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1242,max,avg,0.5,False,True,0.1,64,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1248,max,avg,0.5,False,False,0.1,64,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1251,max,avg,1.0,True,True,0.01,32,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1257,max,avg,1.0,True,False,0.01,32,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1359,max,mult,0.5,False,True,0.01,32,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1390,max,mult,1.0,False,False,0.01,64,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1395,max,mult,2.0,True,True,0.01,32,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1416,max,mult,2.0,False,False,0.1,64,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,1642,var,loss,2.0,True,False,0.01,64,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,1726,var,avg,0.5,False,False,0.01,64,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,1848,var,mult,0.5,False,False,0.1,64,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,1908,var,mult,5.0,True,False,0.1,64,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,641,l2,loss,0.5,False,True,0.1,32,1.0,0.969 +- 0.035,0.969,0.031000000000000028
Iris,1254,max,avg,1.0,True,True,0.1,64,1.0,0.969 +- 0.018,0.969,0.031000000000000028
Iris,1530,var,None,2.0,False,True,0.1,64,1.0,0.969 +- 0.035,0.969,0.031000000000000028
Iris,1887,var,mult,2.0,False,True,0.01,32,0.9166666865348816,0.958 +- 0.029,0.958,-0.04133331346511837
Iris,3,l1,None,0.0,True,True,0.01,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,6,l1,None,0.0,True,True,0.1,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,15,l1,None,0.0,False,True,0.01,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,16,l1,None,0.0,False,True,0.01,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,48,l1,None,0.5,False,False,0.1,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,63,l1,None,1.0,False,True,0.01,32,0.9583333134651184,0.958 +- 0.029,0.958,0.0003333134651184455
Iris,121,l1,loss,0.0,True,True,0.001,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,123,l1,loss,0.0,True,True,0.01,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,124,l1,loss,0.0,True,True,0.01,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,135,l1,loss,0.0,False,True,0.01,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,136,l1,loss,0.0,False,True,0.01,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,179,l1,loss,1.0,True,False,0.1,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,243,l1,avg,0.0,True,True,0.01,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,246,l1,avg,0.0,True,True,0.1,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,255,l1,avg,0.0,False,True,0.01,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,256,l1,avg,0.0,False,True,0.01,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,257,l1,avg,0.0,False,True,0.1,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,269,l1,avg,0.5,True,True,0.1,32,0.9583333134651184,0.958 +- 0.029,0.958,0.0003333134651184455
Iris,363,l1,mult,0.0,True,True,0.01,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,364,l1,mult,0.0,True,True,0.01,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,375,l1,mult,0.0,False,True,0.01,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,376,l1,mult,0.0,False,True,0.01,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,400,l1,mult,0.5,False,True,0.01,64,0.9583333134651184,0.958 +- 0.029,0.958,0.0003333134651184455
Iris,401,l1,mult,0.5,False,True,0.1,32,0.9583333134651184,0.958 +- 0.029,0.958,0.0003333134651184455
Iris,483,l2,None,0.0,True,True,0.01,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,495,l2,None,0.0,False,True,0.01,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,496,l2,None,0.0,False,True,0.01,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,498,l2,None,0.0,False,True,0.1,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,603,l2,loss,0.0,True,True,0.01,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,615,l2,loss,0.0,False,True,0.01,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,616,l2,loss,0.0,False,True,0.01,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,663,l2,loss,1.0,False,True,0.01,32,0.9583333134651184,0.958 +- 0.029,0.958,0.0003333134651184455
Iris,723,l2,avg,0.0,True,True,0.01,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,725,l2,avg,0.0,True,True,0.1,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,737,l2,avg,0.0,False,True,0.1,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,738,l2,avg,0.0,False,True,0.1,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,747,l2,avg,0.5,True,True,0.01,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,826,l2,avg,5.0,True,False,0.01,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,843,l2,mult,0.0,True,True,0.01,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,844,l2,mult,0.0,True,True,0.01,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,845,l2,mult,0.0,True,True,0.1,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,856,l2,mult,0.0,False,True,0.01,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,858,l2,mult,0.0,False,True,0.1,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,891,l2,mult,1.0,True,True,0.01,32,0.9583333134651184,0.958 +- 0.029,0.958,0.0003333134651184455
Iris,903,l2,mult,1.0,False,True,0.01,32,0.9583333134651184,0.958 +- 0.029,0.958,0.0003333134651184455
Iris,904,l2,mult,1.0,False,True,0.01,64,0.9583333134651184,0.958 +- 0.029,0.958,0.0003333134651184455
Iris,966,max,None,0.0,True,True,0.1,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,975,max,None,0.0,False,True,0.01,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,976,max,None,0.0,False,True,0.01,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,978,max,None,0.0,False,True,0.1,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,987,max,None,0.5,True,True,0.01,32,0.9583333134651184,0.958 +- 0.029,0.958,0.0003333134651184455
Iris,1002,max,None,0.5,False,True,0.1,64,0.9583333134651184,0.958 +- 0.042,0.958,0.0003333134651184455
Iris,1056,max,None,2.0,False,False,0.1,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,1083,max,loss,0.0,True,True,0.01,32,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
Iris,1086,max,loss,0.0,True,True,0.1,64,0.9583333134651184,0.958 +- 0.0,0.958,0.0003333134651184455
